year,region_name,annual_items,annual_cost_gbp,national_avg_items,pct_above_national_avg
2026,MIDLANDS COMMISSIONING REGION,1037388,5267911.12,749652.0,38.4
2026,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,877154,4888201.17,749652.0,17.0
2026,SOUTH EAST COMMISSIONING REGION,779260,3827689.77,749652.0,3.9
2026,NORTH WEST COMMISSIONING REGION,700769,3688109.97,749652.0,-6.5
2026,EAST OF ENGLAND COMMISSIONING REGION,675740,3069885.12,749652.0,-9.9
2026,LONDON COMMISSIONING REGION,673481,2829597.89,749652.0,-10.2
2026,SOUTH WEST COMMISSIONING REGION,503773,2777928.0,749652.0,-32.8
2025,MIDLANDS COMMISSIONING REGION,5900991,30033634.44,4245566.0,39.0
2025,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,4971460,27665543.78,4245566.0,17.1
2025,SOUTH EAST COMMISSIONING REGION,4394086,21872285.77,4245566.0,3.5
2025,NORTH WEST COMMISSIONING REGION,4019376,21719703.69,4245566.0,-5.3
2025,LONDON COMMISSIONING REGION,3843086,16840094.76,4245566.0,-9.5
2025,EAST OF ENGLAND COMMISSIONING REGION,3766891,17867293.11,4245566.0,-11.3
2025,SOUTH WEST COMMISSIONING REGION,2823069,15687370.02,4245566.0,-33.5
2024,MIDLANDS COMMISSIONING REGION,6537383,33266268.08,4663966.0,40.2
2024,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,5397248,29717230.81,4663966.0,15.7
2024,SOUTH EAST COMMISSIONING REGION,4830880,24454345.85,4663966.0,3.6
2024,NORTH WEST COMMISSIONING REGION,4419359,23913731.45,4663966.0,-5.2
2024,LONDON COMMISSIONING REGION,4202191,20060921.26,4663966.0,-9.9
2024,EAST OF ENGLAND COMMISSIONING REGION,4162922,20451394.48,4663966.0,-10.7
2024,SOUTH WEST COMMISSIONING REGION,3097778,16831391.88,4663966.0,-33.6
2023,MIDLANDS COMMISSIONING REGION,6595361,38757687.19,4731517.0,39.4
2023,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,5478419,33824024.18,4731517.0,15.8
2023,SOUTH EAST COMMISSIONING REGION,4916994,29116424.63,4731517.0,3.9
2023,NORTH WEST COMMISSIONING REGION,4567070,28043505.5,4731517.0,-3.5
2023,LONDON COMMISSIONING REGION,4222108,24929262.75,4731517.0,-10.8
2023,EAST OF ENGLAND COMMISSIONING REGION,4197915,24231421.2,4731517.0,-11.3
2023,SOUTH WEST COMMISSIONING REGION,3142753,19085030.84,4731517.0,-33.6
2022,MIDLANDS COMMISSIONING REGION,6359377,31658717.2,4570600.0,39.1
2022,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,5309023,28663683.69,4570600.0,16.2
2022,SOUTH EAST COMMISSIONING REGION,4733294,24424041.43,4570600.0,3.6
2022,NORTH WEST COMMISSIONING REGION,4491844,23464975.72,4570600.0,-1.7
2022,EAST OF ENGLAND COMMISSIONING REGION,4049460,20055043.06,4570600.0,-11.4
2022,LONDON COMMISSIONING REGION,4036118,20114211.78,4570600.0,-11.7
2022,SOUTH WEST COMMISSIONING REGION,3015081,16147797.04,4570600.0,-34.0
2021,MIDLANDS COMMISSIONING REGION,4721076,24429081.16,3389078.0,39.3
2021,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,4015676,22179415.72,3389078.0,18.5
2021,SOUTH EAST COMMISSIONING REGION,3503869,18718896.01,3389078.0,3.4
2021,NORTH WEST COMMISSIONING REGION,3367715,18074644.25,3389078.0,-0.6
2021,EAST OF ENGLAND COMMISSIONING REGION,2958462,15119132.35,3389078.0,-12.7
2021,LONDON COMMISSIONING REGION,2928733,14606793.21,3389078.0,-13.6
2021,SOUTH WEST COMMISSIONING REGION,2228016,12522210.34,3389078.0,-34.3
